first_name,last_name,gender,birth_date,parent,city,address,student_email,parent_email,group,math_t1_1,math_t1_2,math_t1_3,math_t1_end,math_t2_1,math_t2_2,math_t2_3,math_t2_end,math_year,physics_t1_1,physics_t1_2,physics_t1_3,physics_t1_end,physics_t2_1,physics_t2_2,physics_t2_3,physics_t2_end,physics_year,chemistry_t1_1,chemistry_t1_2,chemistry_t1_3,chemistry_t1_end,chemistry_t2_1,chemistry_t2_2,chemistry_t2_3,chemistry_t2_end,chemistry_year,biology_t1_1,biology_t1_2,biology_t1_3,biology_t1_end,biology_t2_1,biology_t2_2,biology_t2_3,biology_t2_end,biology_year,english_t1_1,english_t1_2,english_t1_3,english_t1_end,english_t2_1,english_t2_2,english_t2_3,english_t2_end,english_year,history_t1_1,history_t1_2,history_t1_3,history_t1_end,history_t2_1,history_t2_2,history_t2_3,history_t2_end,history_year,geography_t1_1,geography_t1_2,geography_t1_3,geography_t1_end,geography_t2_1,geography_t2_2,geography_t2_3,geography_t2_end,geography_year,literature_t1_1,literature_t1_2,literature_t1_3,literature_t1_end,literature_t2_1,literature_t2_2,literature_t2_3,literature_t2_end,literature_year,sport_t1_1,sport_t1_2,sport_t1_3,sport_t1_end,sport_t2_1,sport_t2_2,sport_t2_3,sport_t2_end,sport_year,it_t1_1,it_t1_2,it_t1_3,it_t1_end,it_t2_1,it_t2_2,it_t2_3,it_t2_end,it_year
Abigail,Thompson,Female,2010-10-18,Deborah Thompson,Austin,901 Elm St,abigail.thompson@example.com,deborah.thompson@example.com,group_a,6,5,4,5,3,4,5,4,,4,3,5,4,6,5,4,5,,5,4,5,5,4,4,6,5,,3,3,6,4,3,3,3,3,,5,6,6,6,6,5,3,5,,4,5,3,4,4,4,6,5,,5,3,4,4,6,5,3,5,,5,4,4,5,6,6,3,5,,3,4,4,4,5,4,6,5,,4,4,3,4,4,3,3,4,
Alexander,Martin,Male,2010-10-10,Christopher Martin,Austin,901 Elm St,alexander.martin@example.com,christopher.martin@example.com,group_a,4,4,4,4,4,5,5,5,,5,3,5,5,6,5,3,5,,6,3,6,5,3,5,4,4,,6,5,6,6,3,6,5,5,,5,5,4,5,6,4,5,5,,5,5,4,5,6,6,6,6,,4,3,4,4,5,5,6,6,,5,4,3,4,5,3,3,4,,3,5,6,5,3,3,6,4,,3,6,5,5,4,3,3,4,
Amelia,White,Female,2010-07-19,Karen White,San Antonio,012 Walnut St,amelia.white@example.com,karen.white@example.com,group_a,4,3,5,4,3,3,3,3,,5,4,5,5,3,6,5,5,,3,3,5,4,6,4,6,6,,5,6,6,6,4,5,6,5,,5,4,4,5,5,3,5,5,,3,5,4,4,5,5,3,5,,6,4,3,5,5,5,5,5,,4,4,6,5,3,3,4,4,,6,5,6,6,5,4,5,5,,6,3,6,5,4,3,5,4,
Ava,Taylor,Female,2010-03-25,Linda Taylor,Chicago,789 Oak St,ava.taylor@example.com,linda.taylor@example.com,group_a,3,3,6,4,6,3,5,5,,6,5,4,5,4,4,4,4,,5,3,4,4,5,6,6,6,,3,6,4,5,3,6,4,5,,3,6,4,5,3,3,5,4,,3,3,3,3,5,4,3,4,,6,5,4,5,3,4,3,4,,5,4,5,5,5,4,6,5,,5,3,4,4,4,5,3,4,,4,3,3,4,6,4,3,5,
Benjamin,Jackson,Male,2010-07-22,Benjamin Jackson Sr.,San Antonio,012 Walnut St,benjamin.jackson@example.com,benjamin.jackson.sr@example.com,group_a,3,6,5,5,6,6,4,6,,3,4,4,4,6,5,3,5,,5,3,6,5,5,5,6,6,,4,4,3,4,6,5,5,6,,6,6,6,6,4,6,3,5,,4,4,4,4,6,4,5,5,,6,6,3,5,6,4,3,5,,4,6,5,5,6,5,6,6,,4,5,6,5,5,3,3,4,,3,5,3,4,3,6,5,5,
Elijah,Taylor,Male,2010-04-25,Robert Taylor,Houston,234 Pine St,elijah.taylor@example.com,robert.taylor@example.com,group_a,6,6,4,6,5,5,6,6,,5,4,6,5,3,3,3,3,,4,3,3,4,5,6,3,5,,3,3,6,4,5,6,5,6,,5,6,4,5,4,4,5,5,,5,4,5,5,4,5,4,5,,3,5,4,4,5,3,4,4,,6,3,6,5,4,5,4,5,,4,4,6,5,3,5,4,4,,3,6,5,5,6,3,6,5,
Ella,Garcia,Female,2010-11-12,Cheryl Garcia,San Francisco,234 Pine St,ella.garcia@example.com,cheryl.garcia@example.com,group_a,4,3,5,4,3,4,3,4,,4,3,6,5,4,3,3,4,,6,5,6,6,6,6,3,5,,4,3,5,4,5,5,4,5,,4,4,3,4,6,5,3,5,,4,6,6,6,5,3,3,4,,4,3,3,4,4,4,3,4,,5,4,6,5,4,4,4,4,,6,3,4,5,4,3,5,4,,4,4,5,5,6,4,3,5,
Emma,Wilson,Female,2010-01-05,Elizabeth Wilson,New York,123 Main St,emma.wilson@example.com,elizabeth.wilson@example.com,group_a,5,4,6,5,6,5,4,5,,6,5,5,6,3,4,3,4,,3,6,3,4,5,6,5,6,,6,6,4,6,4,4,3,4,,3,6,4,5,6,4,6,6,,5,6,3,5,6,4,6,6,,5,4,3,4,4,3,4,4,,5,5,4,5,6,4,5,5,,3,3,4,4,6,3,3,4,,6,4,6,6,3,6,5,5,
Ethan,Garcia,Male,2010-12-29,Anthony Garcia,Seattle,567 Oak St,ethan.garcia@example.com,anthony.garcia@example.com,group_a,4,3,5,4,3,6,3,4,,4,4,5,5,4,5,3,4,,3,6,6,5,6,4,4,5,,4,3,3,4,4,6,4,5,,6,5,3,5,3,5,4,4,,3,4,6,5,3,4,6,5,,3,5,5,5,6,6,4,6,,3,3,6,4,3,4,6,5,,3,4,3,4,4,3,3,4,,3,6,3,4,6,5,3,5,
Evelyn,Martin,Female,2010-09-20,Donna Martin,Dallas,678 Spruce St,evelyn.martin@example.com,donna.martin@example.com,group_a,3,4,5,4,5,5,6,6,,4,3,5,4,3,6,5,5,,5,3,3,4,5,3,4,4,,4,4,6,5,3,5,4,4,,4,4,5,5,6,5,5,6,,6,3,6,5,6,6,5,6,,4,4,4,4,3,5,6,5,,4,6,6,6,6,4,4,5,,4,6,5,5,5,6,6,6,,5,6,6,6,6,3,5,5,
